iter	Passed	Remaining
667	1267	630
668	1269	628
669	1271	626
670	1273	624
671	1274	622
672	1276	620
673	1277	617
674	1278	615
675	1279	613
676	1280	611
677	1282	608
678	1283	606
679	1285	604
680	1287	603
681	1289	601
682	1290	598
683	1291	596
684	1292	594
685	1293	592
686	1295	590
687	1296	588
688	1298	585
689	1299	583
690	1302	582
691	1304	580
692	1305	578
693	1306	576
694	1307	573
695	1309	571
696	1310	569
697	1311	567
698	1312	565
699	1313	563
700	1315	561
701	1318	559
702	1320	557
703	1321	555
704	1323	553
705	1324	551
706	1326	549
707	1327	547
708	1328	545
709	1331	543
710	1333	542
711	1335	540
712	1336	537
713	1337	535
714	1338	533
715	1340	531
716	1341	529
717	1342	527
718	1343	525
719	1345	523
720	1347	521
721	1349	519
722	1350	517
723	1351	515
724	1353	513
725	1354	511
726	1355	509
727	1357	507
728	1358	505
729	1361	503
730	1362	501
731	1364	499
732	1365	497
733	1366	495
734	1367	493
735	1368	491
736	1370	488
737	1371	486
738	1372	484
739	1374	482
740	1376	481
741	1378	479
742	1379	477
743	1380	475
744	1382	473
745	1383	470
746	1384	468
747	1385	466
748	1386	464
749	1388	462
750	1391	461
751	1393	459
752	1395	457
753	1396	455
754	1397	453
755	1398	451
756	1399	449
757	1400	447
758	1402	445
759	1404	443
760	1406	441
761	1408	439
762	1409	437
763	1411	435
764	1412	433
765	1413	431
766	1414	429
767	1415	427
768	1416	425
769	1418	423
770	1421	422
771	1423	420
772	1425	418
773	1426	416
774	1428	414
775	1430	412
776	1431	410
777	1433	409
778	1437	407
779	1438	405
780	1440	403
781	1441	401
782	1442	399
783	1444	397
784	1445	395
785	1446	393
786	1447	391
787	1449	389
788	1451	388
789	1452	386
790	1454	384
791	1455	382
792	1456	380
793	1457	378
794	1458	376
795	1460	374
796	1461	372
797	1463	370
798	1466	368
799	1468	367
800	1469	365
801	1471	363
802	1472	361
803	1474	359
804	1475	357
805	1476	355
806	1477	353
807	1480	351
808	1482	350
809	1484	348
810	1485	346
811	1486	344
812	1488	342
813	1489	340
814	1490	338
815	1491	336
816	1493	334
817	1496	332
818	1498	331
819	1499	329
820	1501	327
821	1502	325
822	1503	323
823	1505	321
824	1506	319
825	1508	317
826	1511	316
827	1514	314
828	1515	312
829	1517	310
830	1518	308
831	1520	306
832	1521	305
833	1524	303
834	1526	301
835	1527	299
836	1529	297
837	1530	295
838	1531	293
839	1532	291
840	1533	289
841	1534	288
842	1536	286
843	1538	284
844	1540	282
845	1542	280
846	1543	278
847	1544	276
848	1545	274
849	1547	273
850	1548	271
851	1549	269
852	1551	267
853	1553	265
854	1555	263
855	1556	261
856	1558	260
857	1559	258
858	1560	256
859	1561	254
860	1563	252
861	1564	250
862	1565	248
863	1567	246
864	1570	245
865	1572	243
866	1573	241
867	1574	239
868	1576	237
869	1577	235
870	1578	233
871	1579	231
872	1581	230
873	1583	228
874	1585	226
875	1586	224
876	1587	222
877	1589	220
878	1590	218
879	1591	217
880	1593	215
881	1594	213
882	1595	211
883	1597	209
884	1599	207
885	1601	206
886	1603	204
887	1604	202
888	1605	200
889	1606	198
890	1608	196
891	1609	194
892	1610	192
893	1612	191
894	1615	189
895	1617	187
896	1618	185
897	1619	184
898	1621	182
899	1623	180
900	1624	178
901	1625	176
902	1628	174
903	1630	173
904	1632	171
905	1633	169
906	1635	167
907	1636	165
908	1637	163
909	1638	162
910	1640	160
911	1641	158
912	1644	156
913	1646	154
914	1647	153
915	1648	151
916	1650	149
917	1651	147
918	1652	145
919	1653	143
920	1654	141
921	1656	140
922	1659	138
923	1661	136
924	1662	134
925	1663	132
926	1665	131
927	1666	129
928	1667	127
929	1668	125
930	1670	123
931	1671	121
932	1674	120
933	1676	118
934	1677	116
935	1678	114
936	1679	112
937	1681	111
938	1682	109
939	1683	107
940	1684	105
941	1686	103
942	1688	102
943	1690	100
944	1691	98
945	1693	96
946	1694	94
947	1695	93
948	1696	91
949	1698	89
950	1699	87
951	1700	85
952	1704	84
953	1706	82
954	1708	80
955	1709	78
956	1710	76
957	1712	75
958	1714	73
959	1715	71
960	1718	69
961	1720	67
962	1721	66
963	1723	64
964	1724	62
965	1725	60
966	1726	58
967	1728	57
968	1729	55
969	1730	53
970	1733	51
971	1735	49
972	1736	48
973	1738	46
974	1739	44
975	1740	42
976	1741	41
977	1743	39
978	1744	37
979	1745	35
980	1748	33
981	1750	32
982	1752	30
983	1753	28
984	1754	26
985	1755	24
986	1756	23
987	1758	21
988	1759	19
989	1761	17
990	1764	16
991	1765	14
992	1766	12
993	1768	10
994	1769	8
995	1770	7
996	1772	5
997	1773	3
998	1774	1
999	1776	0
